,Reference area,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Australia,0.864,0.866,0.868,0.873,0.873,0.882,0.884,0.887,0.891,0.894,0.896,0.9,0.902,0.906,0.908,0.911,0.914,0.916,0.92,0.922,0.924,0.927,0.931,0.929,0.931,0.933,0.936,0.937,0.941,0.941,0.948,0.949,0.946
1,Austria,0.823,0.826,0.832,0.836,0.841,0.847,0.852,0.856,0.861,0.865,0.87,0.874,0.878,0.88,0.886,0.889,0.893,0.896,0.899,0.898,0.903,0.907,0.909,0.907,0.911,0.91,0.913,0.914,0.917,0.92,0.916,0.92,0.926
2,Belgium,0.814,0.818,0.835,0.849,0.857,0.864,0.87,0.874,0.876,0.879,0.884,0.889,0.891,0.893,0.899,0.901,0.904,0.907,0.909,0.91,0.913,0.914,0.915,0.917,0.922,0.924,0.927,0.931,0.933,0.936,0.93,0.938,0.942
3,Canada,0.861,0.865,0.869,0.867,0.873,0.877,0.88,0.88,0.88,0.884,0.89,0.893,0.895,0.897,0.901,0.903,0.907,0.907,0.909,0.91,0.911,0.914,0.921,0.923,0.925,0.927,0.928,0.929,0.93,0.932,0.928,0.934,0.935
4,Colombia,0.614,0.622,0.631,0.637,0.643,0.647,0.654,0.661,0.666,0.665,0.672,0.674,0.676,0.683,0.689,0.701,0.703,0.715,0.722,0.728,0.732,0.738,0.739,0.75,0.755,0.758,0.763,0.765,0.766,0.768,0.756,0.752,0.758
5,Czechia,0.748,0.746,0.747,0.755,0.766,0.775,0.786,0.791,0.794,0.799,0.81,0.82,0.826,0.833,0.838,0.847,0.856,0.862,0.865,0.866,0.872,0.876,0.878,0.884,0.889,0.891,0.894,0.896,0.893,0.896,0.891,0.891,0.895
6,Denmark,0.839,0.843,0.845,0.848,0.854,0.857,0.864,0.871,0.878,0.888,0.89,0.897,0.896,0.901,0.906,0.911,0.911,0.912,0.915,0.909,0.913,0.927,0.931,0.933,0.932,0.936,0.943,0.944,0.942,0.946,0.946,0.947,0.952
7,Estonia,0.741,0.736,0.726,0.718,0.72,0.733,0.749,0.764,0.772,0.781,0.798,0.807,0.818,0.826,0.836,0.848,0.856,0.859,0.861,0.859,0.864,0.873,0.876,0.881,0.879,0.883,0.884,0.886,0.89,0.893,0.891,0.89,0.899
8,Finland,0.811,0.815,0.821,0.826,0.838,0.844,0.852,0.86,0.868,0.877,0.887,0.897,0.901,0.905,0.901,0.904,0.909,0.911,0.913,0.908,0.912,0.916,0.916,0.926,0.928,0.93,0.931,0.934,0.936,0.939,0.939,0.941,0.942
9,France,0.79,0.799,0.806,0.809,0.824,0.829,0.834,0.839,0.843,0.847,0.844,0.847,0.85,0.853,0.861,0.869,0.873,0.876,0.877,0.875,0.88,0.884,0.885,0.888,0.892,0.893,0.896,0.899,0.903,0.905,0.9,0.906,0.91
10,Germany,0.828,0.835,0.842,0.852,0.858,0.863,0.868,0.874,0.879,0.884,0.89,0.897,0.902,0.906,0.915,0.916,0.92,0.923,0.926,0.925,0.929,0.935,0.937,0.938,0.942,0.941,0.941,0.944,0.946,0.951,0.948,0.948,0.95
11,Greece,0.762,0.773,0.774,0.776,0.782,0.784,0.789,0.796,0.806,0.809,0.818,0.827,0.838,0.844,0.852,0.864,0.872,0.866,0.871,0.873,0.874,0.871,0.87,0.874,0.879,0.881,0.877,0.88,0.886,0.89,0.887,0.887,0.893
12,Hungary,0.721,0.715,0.714,0.721,0.73,0.736,0.744,0.75,0.755,0.762,0.773,0.782,0.791,0.798,0.802,0.807,0.815,0.818,0.824,0.826,0.829,0.833,0.833,0.843,0.84,0.839,0.843,0.846,0.85,0.854,0.849,0.846,0.851
13,Ireland,0.743,0.749,0.757,0.767,0.779,0.786,0.795,0.803,0.837,0.841,0.851,0.859,0.868,0.877,0.888,0.894,0.898,0.904,0.905,0.9,0.908,0.906,0.907,0.911,0.918,0.924,0.929,0.934,0.938,0.942,0.945,0.946,0.95
14,Israel,0.781,0.786,0.791,0.797,0.803,0.807,0.814,0.82,0.828,0.835,0.835,0.838,0.843,0.843,0.847,0.856,0.864,0.876,0.877,0.881,0.887,0.89,0.891,0.896,0.899,0.899,0.902,0.906,0.908,0.909,0.906,0.911,0.915
15,Italy,0.78,0.785,0.793,0.799,0.809,0.815,0.821,0.828,0.832,0.837,0.842,0.849,0.854,0.858,0.866,0.869,0.874,0.878,0.878,0.877,0.88,0.883,0.881,0.88,0.882,0.881,0.886,0.889,0.894,0.899,0.892,0.899,0.906
16,Japan,0.846,0.85,0.852,0.858,0.865,0.867,0.874,0.877,0.877,0.878,0.883,0.885,0.888,0.889,0.893,0.894,0.898,0.9,0.901,0.9,0.903,0.902,0.906,0.909,0.91,0.913,0.914,0.916,0.917,0.918,0.917,0.92,0.92
17,Korea,0.731,0.742,0.751,0.761,0.77,0.78,0.791,0.804,0.802,0.814,0.824,0.832,0.841,0.845,0.853,0.861,0.866,0.871,0.874,0.876,0.89,0.895,0.897,0.902,0.906,0.908,0.912,0.915,0.918,0.922,0.922,0.926,0.929
18,Latvia,0.732,0.73,0.707,0.691,0.687,0.696,0.711,0.725,0.736,0.75,0.761,0.772,0.784,0.795,0.805,0.815,0.821,0.825,0.832,0.831,0.827,0.833,0.837,0.846,0.85,0.853,0.858,0.863,0.868,0.873,0.873,0.865,0.879
19,Lithuania,0.74,0.735,0.72,0.702,0.697,0.704,0.717,0.732,0.744,0.753,0.769,0.779,0.791,0.805,0.813,0.821,0.828,0.835,0.843,0.843,0.846,0.853,0.855,0.858,0.864,0.865,0.87,0.878,0.882,0.886,0.88,0.875,0.879
20,Luxembourg,0.793,0.802,0.806,0.815,0.824,0.828,0.834,0.84,0.847,0.861,0.864,0.867,0.872,0.873,0.881,0.882,0.882,0.885,0.898,0.908,0.912,0.913,0.917,0.922,0.927,0.914,0.922,0.918,0.921,0.925,0.921,0.927,0.927
21,Mexico,0.666,0.668,0.67,0.673,0.678,0.678,0.685,0.692,0.699,0.704,0.709,0.712,0.719,0.725,0.729,0.733,0.741,0.743,0.745,0.745,0.747,0.753,0.76,0.761,0.765,0.769,0.773,0.776,0.779,0.781,0.757,0.757,0.781
22,Netherlands,0.847,0.852,0.853,0.855,0.88,0.878,0.882,0.883,0.884,0.886,0.892,0.893,0.89,0.893,0.896,0.899,0.905,0.911,0.911,0.912,0.917,0.927,0.927,0.929,0.931,0.932,0.933,0.936,0.939,0.941,0.938,0.941,0.946
23,New Zealand,0.812,0.815,0.823,0.839,0.852,0.859,0.863,0.871,0.88,0.885,0.894,0.9,0.904,0.908,0.912,0.917,0.918,0.919,0.919,0.922,0.924,0.924,0.927,0.93,0.931,0.933,0.935,0.935,0.936,0.937,0.935,0.936,0.939
24,Norway,0.845,0.853,0.859,0.867,0.883,0.88,0.887,0.893,0.903,0.907,0.914,0.913,0.915,0.923,0.929,0.93,0.934,0.936,0.935,0.935,0.938,0.94,0.941,0.945,0.949,0.952,0.956,0.959,0.96,0.961,0.963,0.964,0.966
25,Poland,0.715,0.711,0.716,0.73,0.74,0.747,0.756,0.767,0.777,0.784,0.794,0.802,0.809,0.814,0.812,0.819,0.824,0.828,0.834,0.838,0.845,0.851,0.855,0.865,0.867,0.869,0.872,0.874,0.876,0.88,0.874,0.876,0.881
26,Portugal,0.703,0.714,0.731,0.747,0.76,0.768,0.777,0.784,0.791,0.788,0.793,0.797,0.8,0.803,0.811,0.813,0.819,0.822,0.825,0.827,0.831,0.836,0.837,0.842,0.847,0.85,0.851,0.857,0.858,0.864,0.861,0.865,0.874
